"question","option_a","option_b","option_c","answer","source"
"¿Quién dirigió la película Parasite en 2019?","Bong Joon-ho","Alfonso Cuarón","Quentin Tarantino","Bong Joon-ho","A"
"¿En qué año se estrenó la serie Stranger Things?","2016","2015","2017","2016","A"
"¿Quién interpretó a Joker en Joker de 2019?","Joaquin Phoenix","Heath Ledger","Jared Leto","Joaquin Phoenix","A"
"¿Quién dirigió la película The Grand Budapest Hotel en 2014?","Wes Anderson","Paul Thomas Anderson","David Fincher","Wes Anderson","A"
"¿En qué año se estrenó la película Interstellar?","2014","2013","2015","2014","A"
"¿Quién interpretó a Amy Dunne en Gone Girl de 2014?","Rosamund Pike","Ben Affleck","Neil Patrick Harris","Rosamund Pike","A"
"¿Quién dirigió la película Birdman en 2014?","Alejandro G. Iñárritu","Damien Chazelle","Richard Linklater","Alejandro G. Iñárritu","A"
"¿En qué año se estrenó la serie True Detective?","2014","2013","2015","2014","A"
"¿Quién interpretó a Jordan Belfort en The Wolf of Wall Street de 2013?","Leonardo DiCaprio","Matthew McConaughey","Jonah Hill","Leonardo DiCaprio","A"
"¿Quién dirigió la película Django Unchained en 2012?","Quentin Tarantino","Christopher Nolan","Martin Scorsese","Quentin Tarantino","A"
"¿En qué año se estrenó la serie House of Cards?","2013","2012","2014","2013","A"
"¿Quién interpretó a Katniss Everdeen en The Hunger Games de 2012?","Jennifer Lawrence","Shailene Woodley","Emma Watson","Jennifer Lawrence","A"
"¿Quién dirigió la película The Social Network en 2010?","David Fincher","David O. Russell","Aaron Sorkin","David Fincher","A"
"¿En qué año se estrenó la película Black Swan?","2010","2009","2011","2010","A"
"¿Quién interpretó a Nina Sayers en Black Swan de 2010?","Natalie Portman","Mila Kunis","Winona Ryder","Natalie Portman","A"
"¿Quién dirigió la película La La Land en 2016?","Damien Chazelle","Barry Jenkins","Greta Gerwig","Damien Chazelle","A"
"¿En qué año se estrenó la serie Westworld?","2016","2015","2017","2016","A"
"¿Quién interpretó a Mia Dolan en La La Land de 2016?","Emma Stone","Emily Blunt","Amy Adams","Emma Stone","A"
"¿Quién dirigió la película Moonlight en 2016?","Barry Jenkins","Jordan Peele","Steve McQueen","Barry Jenkins","A"
"¿En qué año se estrenó la película Arrival?","2016","2015","2017","2016","A"
"¿Quién interpretó a Louise Banks en Arrival de 2016?","Amy Adams","Emily Blunt","Scarlett Johansson","Amy Adams","A"
"¿Quién dirigió la película Get Out en 2017?","Jordan Peele","Spike Lee","Guillermo del Toro","Jordan Peele","A"
"¿En qué año se estrenó la serie The Handmaid's Tale?","2017","2016","2018","2017","A"
"¿Quién interpretó a June Osborne en The Handmaid's Tale?","Elisabeth Moss","Alexis Bledel","Yvonne Strahovski","Elisabeth Moss","A"
"¿Quién dirigió la película Dunkirk en 2017?","Christopher Nolan","Hans Zimmer","Denis Villeneuve","Christopher Nolan","A"
"¿En qué año se estrenó la película Blade Runner 2049?","2017","2016","2018","2017","A"
"¿Quién interpretó a Rick Deckard en Blade Runner 2049?","Harrison Ford","Ryan Gosling","Jared Leto","Harrison Ford","A"
"¿Quién dirigió la película Lady Bird en 2017?","Greta Gerwig","Sofia Coppola","Dee Rees","Greta Gerwig","A"
"¿En qué año se estrenó la serie Big Little Lies?","2017","2016","2018","2017","A"
"¿Quién interpretó a Celeste Wright en Big Little Lies?","Nicole Kidman","Reese Witherspoon","Shailene Woodley","Nicole Kidman","A"
"¿Quién dirigió la película Knives Out en 2019?","Rian Johnson","Chris Evans","Daniel Craig","Rian Johnson","A"
"¿En qué año se estrenó la película 1917?","2019","2018","2020","2019","A"
"¿Quién interpretó a William Schofield en 1917?","George MacKay","Dean-Charles Chapman","Colin Firth","George MacKay","A"
"¿Quién dirigió la película The Irishman en 2019?","Martin Scorsese","Quentin Tarantino","Alfonso Cuarón","Martin Scorsese","A"
"¿En qué año se estrenó la serie Watchmen?","2019","2018","2020","2019","A"
"¿Quién interpretó a Angela Abar en Watchmen?","Regina King","Yahya Abdul-Mateen II","Jean Smart","Regina King","A"
"¿Quién dirigió la película Jojo Rabbit en 2019?","Taika Waititi","Roman Griffin Davis","Scarlett Johansson","Taika Waititi","A"
"¿En qué año se estrenó la película Once Upon a Time in Hollywood?","2019","2018","2020","2019","A"
"¿Quién interpretó a Rick Dalton en Once Upon a Time in Hollywood?","Leonardo DiCaprio","Brad Pitt","Margot Robbie","Leonardo DiCaprio","A"
"¿Quién dirigió la película The Shape of Water en 2017?","Guillermo del Toro","Alfonso Cuarón","Alejandro G. Iñárritu","Guillermo del Toro","A"
"¿En qué año se estrenó la serie Mindhunter?","2017","2016","2018","2017","A"
"¿Quién interpretó a Holden Ford en Mindhunter?","Jonathan Groff","Holt McCallany","Cameron Britton","Jonathan Groff","A"
"¿Quién dirigió la película A Quiet Place en 2018?","John Krasinski","Emily Blunt","Michael Bay","John Krasinski","A"
"¿En qué año se estrenó la película Hereditary?","2018","2017","2019","2018","A"
"¿Quién interpretó a Annie Graham en Hereditary?","Toni Collette","Alex Wolff","Milly Shapiro","Toni Collette","A"
"¿Quién dirigió la película BlacKkKlansman en 2018?","Spike Lee","Jordan Peele","Boots Riley","Spike Lee","A"
"¿En qué año se estrenó la película Roma?","2018","2017","2019","2018","A"
"¿Quién interpretó a Cleo en Roma?","Yalitza Aparicio","Marina de Tavira","Nancy García","Yalitza Aparicio","A"
"¿Quién dirigió la película The Favourite en 2018?","Yorgos Lanthimos","Alfonso Cuarón","Pawel Pawlikowski","Yorgos Lanthimos","A"
"¿En qué año se estrenó la serie Succession?","2018","2017","2019","2018","A"
"¿Quién compuso la banda sonora de Inception en 2010?","Hans Zimmer","John Williams","Alexandre Desplat","Hans Zimmer","B"
"¿En qué plataforma se estrenó la serie The Witcher?","Netflix","Amazon Prime","HBO","Netflix","B"
"¿En qué ciudad se desarrolla la serie Friends?","New York","Los Angeles","Chicago","New York","B"
"¿Quién compuso la banda sonora de The Shape of Water en 2017?","Alexandre Desplat","Hans Zimmer","John Williams","Alexandre Desplat","B"
"¿En qué plataforma se estrenó la serie The Mandalorian?","Disney+","Netflix","Hulu","Disney+","B"
"¿En qué ciudad se desarrolla la serie Breaking Bad?","Albuquerque","Denver","Miami","Albuquerque","B"
"¿Quién compuso la banda sonora de Blade Runner 2049 en 2017?","Hans Zimmer","Clint Mansell","Trent Reznor","Hans Zimmer","B"
"¿En qué plataforma se estrenó la serie Ozark?","Netflix","HBO","Amazon Prime","Netflix","B"
"¿En qué ciudad se desarrolla la serie The Wire?","Baltimore","Philadelphia","Boston","Baltimore","B"
"¿Quién compuso la banda sonora de Dunkirk en 2017?","Hans Zimmer","James Newton Howard","Alan Silvestri","Hans Zimmer","B"
"¿En qué plataforma se estrenó la serie Chernobyl?","HBO","Netflix","Sky Atlantic","HBO","B"
"¿En qué ciudad se desarrolla la serie Peaky Blinders?","Birmingham","London","Manchester","Birmingham","B"
"¿Quién compuso la banda sonora de Interstellar en 2014?","Hans Zimmer","Michael Giacchino","Max Richter","Hans Zimmer","B"
"¿En qué plataforma se estrenó la serie The Queen's Gambit?","Netflix","Hulu","Disney+","Netflix","B"
"¿En qué ciudad se desarrolla la serie Stranger Things?","Hawkins","Indianapolis","Columbus","Hawkins","B"
"¿Quién compuso la banda sonora de La La Land en 2016?","Justin Hurwitz","Hans Zimmer","Alexandre Desplat","Justin Hurwitz","B"
"¿En qué plataforma se estrenó la serie Your Honor?","Showtime","Netflix","Amazon Prime","Showtime","B"
"¿En qué ciudad se desarrolla la serie Succession?","New York","Los Angeles","Chicago","New York","B"
"¿Quién compuso la banda sonora de The Social Network en 2010?","Trent Reznor","Hans Zimmer","Clint Mansell","Trent Reznor","B"
"¿En qué plataforma se estrenó la serie The Undoing?","HBO","Netflix","Hulu","HBO","B"
"¿En qué ciudad se desarrolla la serie The Sopranos?","New Jersey","New York","Philadelphia","New Jersey","B"
"¿Quién compuso la banda sonora de Black Panther en 2018?","Ludwig Göransson","Kendrick Lamar","Hans Zimmer","Ludwig Göransson","B"
"¿En qué plataforma se estrenó la serie Bridgerton?","Netflix","Amazon Prime","Disney+","Netflix","B"
"¿En qué ciudad se desarrolla la serie Shameless?","Chicago","Detroit","Cleveland","Chicago","B"
"¿Quién compuso la banda sonora de Roma en 2018?","Leo Daniderff","Steven Price","Alfonso Cuarón","Leo Daniderff","B"
"¿En qué plataforma se estrenó la serie The Morning Show?","Apple TV+","Netflix","HBO","Apple TV+","B"
"¿En qué ciudad se desarrolla la serie Atlanta?","Atlanta","Miami","New Orleans","Atlanta","B"
"¿Quién compuso la banda sonora de Knives Out en 2019?","Nathan Johnson","Hans Zimmer","Alexandre Desplat","Nathan Johnson","B"
"¿En qué plataforma se estrenó la serie Euphoria?","HBO","Netflix","Amazon Prime","HBO","B"
"¿En qué ciudad se desarrolla la serie The Walking Dead?","Atlanta","Richmond","Savannah","Atlanta","B"
"¿Quién compuso la banda sonora of A Quiet Place en 2018?","Marco Beltrami","Hans Zimmer","John Carpenter","Marco Beltrami","B"
"¿En qué plataforma se estrenó la serie The Haunting of Hill House?","Netflix","HBO","Amazon Prime","Netflix","B"
"¿En qué ciudad se desarrolla la serie True Detective?","Louisiana","Arkansas","Texas","Louisiana","B"
"¿Quién compuso la banda sonora of The Grand Budapest Hotel en 2014?","Alexandre Desplat","Hans Zimmer","Wes Anderson","Alexandre Desplat","B"
"¿En qué plataforma se estrenó la serie Ted Lasso?","Apple TV+","Netflix","Hulu","Apple TV+","B"
"¿En qué ciudad se desarrolla la serie The Crown?","London","Edinburgh","Bristol","London","B"
"¿Quién compuso la banda sonora of Birdman en 2014?","Antonio Sánchez","Hans Zimmer","Alexandre Desplat","Antonio Sánchez","B"
"¿En qué plataforma se estrenó la serie Mare of Easttown?","HBO","Netflix","Amazon Prime","HBO","B"
"¿En qué ciudad se desarrolla la serie The Handmaid's Tale?","Boston","Chicago","Toronto","Boston","B"
"¿Quién compuso la banda sonora of Get Out en 2017?","Michael Abels","Hans Zimmer","Daniel Lopatin","Michael Abels","B"
"¿En qué plataforma se estrenó la serie Loki?","Disney+","Netflix","HBO","Disney+","B"
"¿En qué ciudad se desarrolla la serie Sex and the City?","New York","Los Angeles","Miami","New York","B"
"¿Quién compuso la banda sonora of Moonlight en 2016?","Nicholas Britell","Hans Zimmer","Max Richter","Nicholas Britell","B"
"¿En qué plataforma se estrenó la serie The White Lotus?","HBO","Netflix","Amazon Prime","HBO","B"
"¿En qué ciudad se desarrolla la serie Boardwalk Empire?","Atlantic City","New York","Chicago","Atlantic City","B"
"¿Quién compuso la banda sonora of Jojo Rabbit en 2019?","Michael Giacchino","Hans Zimmer","Alexandre Desplat","Michael Giacchino","B"
"¿En qué plataforma se estrenó la serie WandaVision?","Disney+","Netflix","HBO","Disney+","B"
"¿En qué ciudad se desarrolla la serie Mad Men?","New York","Los Angeles","Chicago","New York","B"
"¿Quién compuso la banda sonora of The Irishman en 2019?","Robbie Robertson","Hans Zimmer","Max Richter","Robbie Robertson","B"
"¿En qué plataforma se estrenó la serie Squid Game?","Netflix","HBO","Amazon Prime","Netflix","B"
"¿Qué película ganó el Oscar a Mejor Película en 2019?","Parasite","1917","Once Upon a Time in Hollywood","Parasite","C"
"¿De qué género es la serie Black Mirror?","Ciencia ficción","Comedia","Drama","Ciencia ficción","C"
"¿Quién interpreta a Kendall Roy en Succession?","Jeremy Strong","Adam McKay","Brian Cox","Jeremy Strong","C"
"¿Qué película ganó el Oscar a Mejor Película en 2017?","Moonlight","La La Land","Manchester by the Sea","Moonlight","C"
"¿De qué género es la serie The Office?","Comedia","Drama","Thriller","Comedia","C"
"¿Quién interpreta a Saul Goodman en Better Call Saul?","Bob Odenkirk","Jonathan Banks","Michael McKean","Bob Odenkirk","C"
"¿Qué película ganó el Oscar a Mejor Película en 2018?","The Shape of Water","Three Billboards Outside Ebbing Missouri","Get Out","The Shape of Water","C"
"¿De qué género es la serie Narcos?","Crimen","Comedia","Romance","Crimen","C"
"¿Quién interpreta a Rue Bennett en Euphoria?","Zendaya","Hunter Schafer","Sydney Sweeney","Zendaya","C"
"¿Qué película ganó el Oscar a Mejor Película en 2016?","Spotlight","The Revenant","Bridge of Spies","Spotlight","C"
"¿De qué género es la serie The Crown?","Drama","Comedia","Ciencia ficción","Drama","C"
"¿Quién interpreta a Oberyn Martell en Game of Thrones?","Pedro Pascal","Indira Varma","Michiel Huisman","Pedro Pascal","C"
"¿Qué película ganó el Oscar a Mejor Película en 2015?","Birdman","The Grand Budapest Hotel","Boyhood","Birdman","C"
"¿De qué género es la serie Fargo?","Crimen","Comedia","Fantasía","Crimen","C"
"¿Quién interpreta a Beth Harmon en The Queen's Gambit?","Anya Taylor-Joy","Marielle Heller","Thomas Brodie-Sangster","Anya Taylor-Joy","C"
"¿Qué película ganó el Oscar a Mejor Película en 2014?","12 Years a Slave","Gravity","Dallas Buyers Club","12 Years a Slave","C"
"¿De qué género es la serie Westworld?","Ciencia ficción","Comedia","Romance","Ciencia ficción","C"
"¿Quién interpreta a Maeve Millay en Westworld?","Thandiwe Newton","Angela Sarafyan","Tessa Thompson","Thandiwe Newton","C"
"¿Qué película ganó el Oscar a Mejor Película en 2013?","Argo","Life of Pi","Lincoln","Argo","C"
"¿De qué género es la serie True Detective?","Crimen","Comedia","Fantasía","Crimen","C"
"¿Quién interpreta a Rust Cohle en True Detective?","Matthew McConaughey","Woody Harrelson","Colin Farrell","Matthew McConaughey","C"
"¿Qué película ganó el Oscar a Mejor Película en 2012?","The Artist","The Descendants","Hugo","The Artist","C"
"¿De qué género es la serie Stranger Things?","Ciencia ficción","Comedia","Romance","Ciencia ficción","C"
"¿Quién interpreta a Eleven en Stranger Things?","Millie Bobby Brown","Finn Wolfhard","Gaten Matarazzo","Millie Bobby Brown","C"
"¿Qué película ganó el Oscar a Mejor Película en 2011?","The King's Speech","The Social Network","Black Swan","The King's Speech","C"
"¿De qué género es la serie Breaking Bad?","Crimen","Comedia","Romance","Crimen","C"
"¿Quién interpreta a Jesse Pinkman en Breaking Bad?","Aaron Paul","Bryan Cranston","Dean Norris","Aaron Paul","C"
"¿Qué película ganó el Oscar a Mejor Película en 2010?","The Hurt Locker","Avatar","Inglourious Basterds","The Hurt Locker","C"
"¿De qué género es la serie The Sopranos?","Crimen","Comedia","Fantasía","Crimen","C"
"¿Quién interpreta a Christopher Moltisanti en The Sopranos?","Michael Imperioli","James Gandolfini","Steven Van Zandt","Michael Imperioli","C"
"¿Qué película ganó el Oscar a Mejor Película en 2020?","Nomadland","The Trial of the Chicago 7","Promising Young Woman","Nomadland","C"
"¿De qué género es la serie The Mandalorian?","Ciencia ficción","Comedia","Drama","Ciencia ficción","C"
"¿Quién interpreta a Din Djarin en The Mandalorian?","Pedro Pascal","Carl Weathers","Temuera Morrison","Pedro Pascal","C"
"¿Qué película ganó el Oscar a Mejor Película en 2021?","CODA","The Power of the Dog","Belfast","CODA","C"
"¿De qué género es la serie Ted Lasso?","Comedia","Drama","Crimen","Comedia","C"
"¿Quién interpreta a Rebecca Welton en Ted Lasso?","Hannah Waddingham","Juno Temple","Sarah Niles","Hannah Waddingham","C"
"¿Qué película ganó el Oscar a Mejor Película en 2022?","Everything Everywhere All at Once","The Banshees of Inisherin","Top Gun Maverick","Everything Everywhere All at Once","C"
"¿De qué género es la serie Squid Game?","Drama","Comedia","Ciencia ficción","Drama","C"
"¿Quién interpreta a Seong Gi-hun en Squid Game?","Lee Jung-jae","Park Hae-soo","Jung Ho-yeon","Lee Jung-jae","C"
"¿Qué película ganó el Oscar a Mejor Película en 2009?","Slumdog Millionaire","The Curious Case of Benjamin Button","Milk","Slumdog Millionaire","C"
"¿De qué género es la serie The Wire?","Crimen","Comedia","Romance","Crimen","C"
"¿Quién interpreta a Omar Little en The Wire?","Michael K. Williams","Idris Elba","Dominic West","Michael K. Williams","C"
"¿Qué película ganó el Oscar a Mejor Película en 2008?","No Country for Old Men","There Will Be Blood","Atonement","No Country for Old Men","C"
"¿De qué género es la serie Mad Men?","Drama","Comedia","Ciencia ficción","Drama","C"
"¿Quién interpreta a Peggy Olson en Mad Men?","Elisabeth Moss","January Jones","Christina Hendricks","Elisabeth Moss","C"
"¿Qué película ganó el Oscar a Mejor Película en 2007?","The Departed","Babel","The Queen","The Departed","C"
"¿De qué género es la serie House of Cards?","Drama","Comedia","Crimen","Drama","C"
"¿Quién interpreta a Claire Underwood en House of Cards?","Robin Wright","Kate Mara","Neve Campbell","Robin Wright","C"
"¿De qué género es la serie Peaky Blinders?","Crimen","Comedia","Romance","Crimen","C"
"¿Quién interpreta a Arthur Shelby en Peaky Blinders?","Paul Anderson","Joe Cole","Finn Cole","Paul Anderson","C"
