"question","option_a","option_b","option_c","answer"
"¿Quién dirigió la película Parasite en 2019?","Bong Joon-ho","Alfonso Cuarón","Quentin Tarantino","Bong Joon-ho"
"¿En qué año se estrenó la serie Stranger Things?","2016","2015","2017","2016"
"¿Quién interpretó a Joker en Joker de 2019?","Joaquin Phoenix","Heath Ledger","Jared Leto","Joaquin Phoenix"
"¿Quién dirigió la película The Grand Budapest Hotel en 2014?","Wes Anderson","Paul Thomas Anderson","David Fincher","Wes Anderson"
"¿En qué año se estrenó la película Interstellar?","2014","2013","2015","2014"
"¿Quién interpretó a Amy Dunne en Gone Girl de 2014?","Rosamund Pike","Ben Affleck","Neil Patrick Harris","Rosamund Pike"
"¿Quién dirigió la película Birdman en 2014?","Alejandro G. Iñárritu","Damien Chazelle","Richard Linklater","Alejandro G. Iñárritu"
"¿En qué año se estrenó la serie True Detective?","2014","2013","2015","2014"
"¿Quién interpretó a Jordan Belfort en The Wolf of Wall Street de 2013?","Leonardo DiCaprio","Matthew McConaughey","Jonah Hill","Leonardo DiCaprio"
"¿Quién dirigió la película Django Unchained en 2012?","Quentin Tarantino","Christopher Nolan","Martin Scorsese","Quentin Tarantino"
"¿En qué año se estrenó la serie House of Cards?","2013","2012","2014","2013"
"¿Quién interpretó a Katniss Everdeen en The Hunger Games de 2012?","Jennifer Lawrence","Shailene Woodley","Emma Watson","Jennifer Lawrence"
"¿Quién dirigió la película The Social Network en 2010?","David Fincher","David O. Russell","Aaron Sorkin","David Fincher"
"¿En qué año se estrenó la película Black Swan?","2010","2009","2011","2010"
"¿Quién interpretó a Nina Sayers en Black Swan de 2010?","Natalie Portman","Mila Kunis","Winona Ryder","Natalie Portman"
"¿Quién dirigió la película La La Land en 2016?","Damien Chazelle","Barry Jenkins","Greta Gerwig","Damien Chazelle"
"¿En qué año se estrenó la serie Westworld?","2016","2015","2017","2016"
"¿Quién interpretó a Mia Dolan en La La Land de 2016?","Emma Stone","Emily Blunt","Amy Adams","Emma Stone"
"¿Quién dirigió la película Moonlight en 2016?","Barry Jenkins","Jordan Peele","Steve McQueen","Barry Jenkins"
"¿En qué año se estrenó la película Arrival?","2016","2015","2017","2016"
"¿Quién interpretó a Louise Banks en Arrival de 2016?","Amy Adams","Emily Blunt","Scarlett Johansson","Amy Adams"
"¿Quién dirigió la película Get Out en 2017?","Jordan Peele","Spike Lee","Guillermo del Toro","Jordan Peele"
"¿En qué año se estrenó la serie The Handmaid's Tale?","2017","2016","2018","2017"
"¿Quién interpretó a June Osborne en The Handmaid's Tale?","Elisabeth Moss","Alexis Bledel","Yvonne Strahovski","Elisabeth Moss"
"¿Quién dirigió la película Dunkirk en 2017?","Christopher Nolan","Hans Zimmer","Denis Villeneuve","Christopher Nolan"
"¿En qué año se estrenó la película Blade Runner 2049?","2017","2016","2018","2017"
"¿Quién interpretó a Rick Deckard en Blade Runner 2049?","Harrison Ford","Ryan Gosling","Jared Leto","Harrison Ford"
"¿Quién dirigió la película Lady Bird en 2017?","Greta Gerwig","Sofia Coppola","Dee Rees","Greta Gerwig"
"¿En qué año se estrenó la serie Big Little Lies?","2017","2016","2018","2017"
"¿Quién interpretó a Celeste Wright en Big Little Lies?","Nicole Kidman","Reese Witherspoon","Shailene Woodley","Nicole Kidman"
"¿Quién dirigió la película Knives Out en 2019?","Rian Johnson","Chris Evans","Daniel Craig","Rian Johnson"
"¿En qué año se estrenó la película 1917?","2019","2018","2020","2019"
"¿Quién interpretó a William Schofield en 1917?","George MacKay","Dean-Charles Chapman","Colin Firth","George MacKay"
"¿Quién dirigió la película The Irishman en 2019?","Martin Scorsese","Quentin Tarantino","Alfonso Cuarón","Martin Scorsese"
"¿En qué año se estrenó la serie Watchmen?","2019","2018","2020","2019"
"¿Quién interpretó a Angela Abar en Watchmen?","Regina King","Yahya Abdul-Mateen II","Jean Smart","Regina King"
"¿Quién dirigió la película Jojo Rabbit en 2019?","Taika Waititi","Roman Griffin Davis","Scarlett Johansson","Taika Waititi"
"¿En qué año se estrenó la película Once Upon a Time in Hollywood?","2019","2018","2020","2019"
"¿Quién interpretó a Rick Dalton en Once Upon a Time in Hollywood?","Leonardo DiCaprio","Brad Pitt","Margot Robbie","Leonardo DiCaprio"
"¿Quién dirigió la película The Shape of Water en 2017?","Guillermo del Toro","Alfonso Cuarón","Alejandro G. Iñárritu","Guillermo del Toro"
"¿En qué año se estrenó la serie Mindhunter?","2017","2016","2018","2017"
"¿Quién interpretó a Holden Ford en Mindhunter?","Jonathan Groff","Holt McCallany","Cameron Britton","Jonathan Groff"
"¿Quién dirigió la película A Quiet Place en 2018?","John Krasinski","Emily Blunt","Michael Bay","John Krasinski"
"¿En qué año se estrenó la película Hereditary?","2018","2017","2019","2018"
"¿Quién interpretó a Annie Graham en Hereditary?","Toni Collette","Alex Wolff","Milly Shapiro","Toni Collette"
"¿Quién dirigió la película BlacKkKlansman en 2018?","Spike Lee","Jordan Peele","Boots Riley","Spike Lee"
"¿En qué año se estrenó la película Roma?","2018","2017","2019","2018"
"¿Quién interpretó a Cleo en Roma?","Yalitza Aparicio","Marina de Tavira","Nancy García","Yalitza Aparicio"
"¿Quién dirigió la película The Favourite en 2018?","Yorgos Lanthimos","Alfonso Cuarón","Pawel Pawlikowski","Yorgos Lanthimos"
"¿En qué año se estrenó la serie Succession?","2018","2017","2019","2018"
