"question","option_a","option_b","option_c","answer"
"¿Qué película ganó el Oscar a Mejor Película en 2019?","Parasite","1917","Once Upon a Time in Hollywood","Parasite"
"¿De qué género es la serie Black Mirror?","Ciencia ficción","Comedia","Drama","Ciencia ficción"
"¿Quién interpreta a Kendall Roy en Succession?","Jeremy Strong","Adam McKay","Brian Cox","Jeremy Strong"
"¿Qué película ganó el Oscar a Mejor Película en 2017?","Moonlight","La La Land","Manchester by the Sea","Moonlight"
"¿De qué género es la serie The Office?","Comedia","Drama","Thriller","Comedia"
"¿Quién interpreta a Saul Goodman en Better Call Saul?","Bob Odenkirk","Jonathan Banks","Michael McKean","Bob Odenkirk"
"¿Qué película ganó el Oscar a Mejor Película en 2018?","The Shape of Water","Three Billboards Outside Ebbing Missouri","Get Out","The Shape of Water"
"¿De qué género es la serie Narcos?","Crimen","Comedia","Romance","Crimen"
"¿Quién interpreta a Rue Bennett en Euphoria?","Zendaya","Hunter Schafer","Sydney Sweeney","Zendaya"
"¿Qué película ganó el Oscar a Mejor Película en 2016?","Spotlight","The Revenant","Bridge of Spies","Spotlight"
"¿De qué género es la serie The Crown?","Drama","Comedia","Ciencia ficción","Drama"
"¿Quién interpreta a Oberyn Martell en Game of Thrones?","Pedro Pascal","Indira Varma","Michiel Huisman","Pedro Pascal"
"¿Qué película ganó el Oscar a Mejor Película en 2015?","Birdman","The Grand Budapest Hotel","Boyhood","Birdman"
"¿De qué género es la serie Fargo?","Crimen","Comedia","Fantasía","Crimen"
"¿Quién interpreta a Beth Harmon en The Queen's Gambit?","Anya Taylor-Joy","Marielle Heller","Thomas Brodie-Sangster","Anya Taylor-Joy"
"¿Qué película ganó el Oscar a Mejor Película en 2014?","12 Years a Slave","Gravity","Dallas Buyers Club","12 Years a Slave"
"¿De qué género es la serie Westworld?","Ciencia ficción","Comedia","Romance","Ciencia ficción"
"¿Quién interpreta a Maeve Millay en Westworld?","Thandiwe Newton","Angela Sarafyan","Tessa Thompson","Thandiwe Newton"
"¿Qué película ganó el Oscar a Mejor Película en 2013?","Argo","Life of Pi","Lincoln","Argo"
"¿De qué género es la serie True Detective?","Crimen","Comedia","Fantasía","Crimen"
"¿Quién interpreta a Rust Cohle en True Detective?","Matthew McConaughey","Woody Harrelson","Colin Farrell","Matthew McConaughey"
"¿Qué película ganó el Oscar a Mejor Película en 2012?","The Artist","The Descendants","Hugo","The Artist"
"¿De qué género es la serie Stranger Things?","Ciencia ficción","Comedia","Romance","Ciencia ficción"
"¿Quién interpreta a Eleven en Stranger Things?","Millie Bobby Brown","Finn Wolfhard","Gaten Matarazzo","Millie Bobby Brown"
"¿Qué película ganó el Oscar a Mejor Película en 2011?","The King's Speech","The Social Network","Black Swan","The King's Speech"
"¿De qué género es la serie Breaking Bad?","Crimen","Comedia","Romance","Crimen"
"¿Quién interpreta a Jesse Pinkman en Breaking Bad?","Aaron Paul","Bryan Cranston","Dean Norris","Aaron Paul"
"¿Qué película ganó el Oscar a Mejor Película en 2010?","The Hurt Locker","Avatar","Inglourious Basterds","The Hurt Locker"
"¿De qué género es la serie The Sopranos?","Crimen","Comedia","Fantasía","Crimen"
"¿Quién interpreta a Christopher Moltisanti en The Sopranos?","Michael Imperioli","James Gandolfini","Steven Van Zandt","Michael Imperioli"
"¿Qué película ganó el Oscar a Mejor Película en 2020?","Nomadland","The Trial of the Chicago 7","Promising Young Woman","Nomadland"
"¿De qué género es la serie The Mandalorian?","Ciencia ficción","Comedia","Drama","Ciencia ficción"
"¿Quién interpreta a Din Djarin en The Mandalorian?","Pedro Pascal","Carl Weathers","Temuera Morrison","Pedro Pascal"
"¿Qué película ganó el Oscar a Mejor Película en 2021?","CODA","The Power of the Dog","Belfast","CODA"
"¿De qué género es la serie Ted Lasso?","Comedia","Drama","Crimen","Comedia"
"¿Quién interpreta a Rebecca Welton en Ted Lasso?","Hannah Waddingham","Juno Temple","Sarah Niles","Hannah Waddingham"
"¿Qué película ganó el Oscar a Mejor Película en 2022?","Everything Everywhere All at Once","The Banshees of Inisherin","Top Gun Maverick","Everything Everywhere All at Once"
"¿De qué género es la serie Squid Game?","Drama","Comedia","Ciencia ficción","Drama"
"¿Quién interpreta a Seong Gi-hun en Squid Game?","Lee Jung-jae","Park Hae-soo","Jung Ho-yeon","Lee Jung-jae"
"¿Qué película ganó el Oscar a Mejor Película en 2009?","Slumdog Millionaire","The Curious Case of Benjamin Button","Milk","Slumdog Millionaire"
"¿De qué género es la serie The Wire?","Crimen","Comedia","Romance","Crimen"
"¿Quién interpreta a Omar Little en The Wire?","Michael K. Williams","Idris Elba","Dominic West","Michael K. Williams"
"¿Qué película ganó el Oscar a Mejor Película en 2008?","No Country for Old Men","There Will Be Blood","Atonement","No Country for Old Men"
"¿De qué género es la serie Mad Men?","Drama","Comedia","Ciencia ficción","Drama"
"¿Quién interpreta a Peggy Olson en Mad Men?","Elisabeth Moss","January Jones","Christina Hendricks","Elisabeth Moss"
"¿Qué película ganó el Oscar a Mejor Película en 2007?","The Departed","Babel","The Queen","The Departed"
"¿De qué género es la serie House of Cards?","Drama","Comedia","Crimen","Drama"
"¿Quién interpreta a Claire Underwood en House of Cards?","Robin Wright","Kate Mara","Neve Campbell","Robin Wright"
"¿De qué género es la serie Peaky Blinders?","Crimen","Comedia","Romance","Crimen"
"¿Quién interpreta a Arthur Shelby en Peaky Blinders?","Paul Anderson","Joe Cole","Finn Cole","Paul Anderson"
