"question","option_a","option_b","option_c","answer"
"¿Quién compuso la banda sonora de Inception en 2010?","Hans Zimmer","John Williams","Alexandre Desplat","Hans Zimmer"
"¿En qué plataforma se estrenó la serie The Witcher?","Netflix","Amazon Prime","HBO","Netflix"
"¿En qué ciudad se desarrolla la serie Friends?","New York","Los Angeles","Chicago","New York"
"¿Quién compuso la banda sonora de The Shape of Water en 2017?","Alexandre Desplat","Hans Zimmer","John Williams","Alexandre Desplat"
"¿En qué plataforma se estrenó la serie The Mandalorian?","Disney+","Netflix","Hulu","Disney+"
"¿En qué ciudad se desarrolla la serie Breaking Bad?","Albuquerque","Denver","Miami","Albuquerque"
"¿Quién compuso la banda sonora de Blade Runner 2049 en 2017?","Hans Zimmer","Clint Mansell","Trent Reznor","Hans Zimmer"
"¿En qué plataforma se estrenó la serie Ozark?","Netflix","HBO","Amazon Prime","Netflix"
"¿En qué ciudad se desarrolla la serie The Wire?","Baltimore","Philadelphia","Boston","Baltimore"
"¿Quién compuso la banda sonora de Dunkirk en 2017?","Hans Zimmer","James Newton Howard","Alan Silvestri","Hans Zimmer"
"¿En qué plataforma se estrenó la serie Chernobyl?","HBO","Netflix","Sky Atlantic","HBO"
"¿En qué ciudad se desarrolla la serie Peaky Blinders?","Birmingham","London","Manchester","Birmingham"
"¿Quién compuso la banda sonora de Interstellar en 2014?","Hans Zimmer","Michael Giacchino","Max Richter","Hans Zimmer"
"¿En qué plataforma se estrenó la serie The Queen's Gambit?","Netflix","Hulu","Disney+","Netflix"
"¿En qué ciudad se desarrolla la serie Stranger Things?","Hawkins","Indianapolis","Columbus","Hawkins"
"¿Quién compuso la banda sonora de La La Land en 2016?","Justin Hurwitz","Hans Zimmer","Alexandre Desplat","Justin Hurwitz"
"¿En qué plataforma se estrenó la serie Your Honor?","Showtime","Netflix","Amazon Prime","Showtime"
"¿En qué ciudad se desarrolla la serie Succession?","New York","Los Angeles","Chicago","New York"
"¿Quién compuso la banda sonora de The Social Network en 2010?","Trent Reznor","Hans Zimmer","Clint Mansell","Trent Reznor"
"¿En qué plataforma se estrenó la serie The Undoing?","HBO","Netflix","Hulu","HBO"
"¿En qué ciudad se desarrolla la serie The Sopranos?","New Jersey","New York","Philadelphia","New Jersey"
"¿Quién compuso la banda sonora de Black Panther en 2018?","Ludwig Göransson","Kendrick Lamar","Hans Zimmer","Ludwig Göransson"
"¿En qué plataforma se estrenó la serie Bridgerton?","Netflix","Amazon Prime","Disney+","Netflix"
"¿En qué ciudad se desarrolla la serie Shameless?","Chicago","Detroit","Cleveland","Chicago"
"¿Quién compuso la banda sonora de Roma en 2018?","Leo Daniderff","Steven Price","Alfonso Cuarón","Leo Daniderff"
"¿En qué plataforma se estrenó la serie The Morning Show?","Apple TV+","Netflix","HBO","Apple TV+"
"¿En qué ciudad se desarrolla la serie Atlanta?","Atlanta","Miami","New Orleans","Atlanta"
"¿Quién compuso la banda sonora de Knives Out en 2019?","Nathan Johnson","Hans Zimmer","Alexandre Desplat","Nathan Johnson"
"¿En qué plataforma se estrenó la serie Euphoria?","HBO","Netflix","Amazon Prime","HBO"
"¿En qué ciudad se desarrolla la serie The Walking Dead?","Atlanta","Richmond","Savannah","Atlanta"
"¿Quién compuso la banda sonora of A Quiet Place en 2018?","Marco Beltrami","Hans Zimmer","John Carpenter","Marco Beltrami"
"¿En qué plataforma se estrenó la serie The Haunting of Hill House?","Netflix","HBO","Amazon Prime","Netflix"
"¿En qué ciudad se desarrolla la serie True Detective?","Louisiana","Arkansas","Texas","Louisiana"
"¿Quién compuso la banda sonora of The Grand Budapest Hotel en 2014?","Alexandre Desplat","Hans Zimmer","Wes Anderson","Alexandre Desplat"
"¿En qué plataforma se estrenó la serie Ted Lasso?","Apple TV+","Netflix","Hulu","Apple TV+"
"¿En qué ciudad se desarrolla la serie The Crown?","London","Edinburgh","Bristol","London"
"¿Quién compuso la banda sonora of Birdman en 2014?","Antonio Sánchez","Hans Zimmer","Alexandre Desplat","Antonio Sánchez"
"¿En qué plataforma se estrenó la serie Mare of Easttown?","HBO","Netflix","Amazon Prime","HBO"
"¿En qué ciudad se desarrolla la serie The Handmaid's Tale?","Boston","Chicago","Toronto","Boston"
"¿Quién compuso la banda sonora of Get Out en 2017?","Michael Abels","Hans Zimmer","Daniel Lopatin","Michael Abels"
"¿En qué plataforma se estrenó la serie Loki?","Disney+","Netflix","HBO","Disney+"
"¿En qué ciudad se desarrolla la serie Sex and the City?","New York","Los Angeles","Miami","New York"
"¿Quién compuso la banda sonora of Moonlight en 2016?","Nicholas Britell","Hans Zimmer","Max Richter","Nicholas Britell"
"¿En qué plataforma se estrenó la serie The White Lotus?","HBO","Netflix","Amazon Prime","HBO"
"¿En qué ciudad se desarrolla la serie Boardwalk Empire?","Atlantic City","New York","Chicago","Atlantic City"
"¿Quién compuso la banda sonora of Jojo Rabbit en 2019?","Michael Giacchino","Hans Zimmer","Alexandre Desplat","Michael Giacchino"
"¿En qué plataforma se estrenó la serie WandaVision?","Disney+","Netflix","HBO","Disney+"
"¿En qué ciudad se desarrolla la serie Mad Men?","New York","Los Angeles","Chicago","New York"
"¿Quién compuso la banda sonora of The Irishman en 2019?","Robbie Robertson","Hans Zimmer","Max Richter","Robbie Robertson"
"¿En qué plataforma se estrenó la serie Squid Game?","Netflix","HBO","Amazon Prime","Netflix"
